kin E	MS
 1015	 1092.92492675781
 1016	 1092.10559082031
 1017	 1091.28503417969
 1018	 1090.46313476562
 1019	 1089.64001464844
 1020	 1088.81567382812
 1021	 1087.98999023438
 1022	 1087.16320800781
 1023	 1086.33520507812
 1024	 1085.505859375
 1025	 1084.67541503906
 1026	 1083.84362792969
 1027	 1083.0107421875
 1028	 1082.17663574219
 1029	 1081.34143066406
 1030	 1080.50500488281
 1031	 1079.66735839844
 1032	 1078.82861328125
 1033	 1077.98864746094
 1034	 1077.14758300781
 1035	 1076.30541992187
 1036	 1075.46203613281
 1037	 1074.61755371094
 1038	 1073.77197265625
 1039	 1072.92529296875
 1040	 1072.07751464844
 1041	 1071.22863769531
 1042	 1070.37866210937
 1043	 1069.52758789063
 1044	 1068.67553710937
 1045	 1067.822265625
 1046	 1066.96801757812
 1047	 1066.11279296875
 1048	 1065.25646972656
 1049	 1064.39904785156
 1050	 1063.54064941406
 1051	 1062.68127441406
 1052	 1061.82092285156
 1053	 1060.95947265625
 1054	 1060.09704589844
 1055	 1059.23364257812
 1056	 1058.36926269531
 1057	 1057.50390625
 1058	 1056.63757324219
 1059	 1055.77026367187
 1060	 1054.90197753906
 1061	 1054.03283691406
 1062	 1053.16271972656
 1063	 1052.29162597656
 1064	 1051.41967773437
 1065	 1050.54675292969
 1066	 1049.67297363281
 1067	 1048.79833984375
 1068	 1047.92272949219
 1069	 1047.04626464844
 1070	 1046.16882324219
 1071	 1045.29064941406
 1072	 1044.41149902344
 1073	 1043.53161621094
 1074	 1042.65087890625
 1075	 1041.76916503906
 1076	 1040.88671875
 1077	 1040.00341796875
 1078	 1039.11938476562
 1079	 1038.234375
 1080	 1037.3486328125
 1081	 1036.46215820313
 1082	 1035.57482910156
 1083	 1034.68676757812
 1084	 1033.79797363281
 1085	 1032.90832519531
 1086	 1032.01794433594
 1087	 1031.12670898437
 1088	 1030.23486328125
 1089	 1029.34228515625
 1090	 1028.44897460937
 1091	 1027.55480957031
 1092	 1026.66003417969
 1093	 1025.76452636719
 1094	 1024.86840820312
 1095	 1023.97149658203
 1096	 1023.07397460937
 1097	 1022.17572021484
 1098	 1021.27679443359
 1099	 1020.37719726562
 1100	 1019.47698974609
 1101	 1018.57611083984
 1102	 1017.67462158203
 1103	 1016.7724609375
 1104	 1015.86968994141
 1105	 1014.96630859375
 1106	 1014.06231689453
 1107	 1013.15771484375
 1108	 1012.25250244141
 1109	 1011.34674072266
 1110	 1010.44036865234
 1111	 1009.53338623047
 1112	 1008.62591552734
 1113	 1007.71783447266
 1114	 1006.80926513672
 1115	 1005.90008544922
 1116	 1004.99041748047
 1117	 1004.08020019531
 1118	 1003.16943359375
 1119	 1002.25817871094
 1120	 1001.34643554687
